Winter,Date,Canton,Community,Starting zone,url,Elevation (m),Aspect,Activity,"Victims (caught, buried)",Danger- level
2010/11,26-Mar-11,VS,Bourg Saint Pierre,Tsandéserte / Valsorey,http://map.geo.admin.ch/?Y=583450&X=86631&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2190,NE,1,"5 (10, 9)",3
2010/11,20-Mar-11,BE,Grindelwald,Widderfeld / First,http://map.geo.admin.ch/?Y=646651&X=169102&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2430,SW,2,"1 (1, 1)",3
2010/11,20-Mar-11,VS,Zermatt,Monte Rosahütte,http://map.geo.admin.ch/?Y=628880&X=90093&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2630,WNW,1,"1 (2, 1)",3
2010/11,19-Mar-11,GR,Davos,Gorigrat / Jörihorn,http://map.geo.admin.ch/?Y=792110&X=184860&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2770,W,1,"3 (4, 4)",3
2010/11,13-Mar-11,VS,Bourg Saint Pierre,Bourg St Bernard,http://map.geo.admin.ch/?Y=581700&X=82940&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2120,NE,1,"2 (2, 2)",3
2010/11,12-Mar-11,VS,Zermatt,Triftji / Stockhorn,http://map.geo.admin.ch/?Y=630165&X=94580&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2740,WNW,1,"2 (3, 3)",2
2010/11,10-Mar-11,BE,Saxeten,Nideri Sulegg,http://map.geo.admin.ch/?Y=631125&X=162735&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2270,NW,1,"1 (1, 1)",2
2010/11,1-Mar-11,BE,Gsteig,Stiereberg / Mittaghore,http://map.geo.admin.ch/?Y=587110&X=134900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2080,NE,2,"1 (3, 2)",3
2010/11,1-Mar-11,VS,Mollens,Mont Bonvin,http://map.geo.admin.ch/?Y=605470&X=134550&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2925,NE,2,"1 (1, 0)",3
2010/11,5-Feb-11,UR,Erstfeld,Ängi / Waldnacht,http://map.geo.admin.ch/?Y=686310&X=187310&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1680,NNE,1,"1 (1, 1)",2
2010/11,31-Jan-11,BE,Adelboden,Vordere Loner,http://map.geo.admin.ch/?Y=612270&X=145420&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2870,SW,1,"2 (2, 2)",2
2010/11,16-Jan-11,GL,Glarus Süd,Gross Chärpf,http://map.geo.admin.ch/?Y=726050&X=197475&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2750,SW,1,"1 (3, 1)",2
2010/11,27-Dec-10,UR,Andermatt,Vordere Felli / Oberalp,http://map.geo.admin.ch/?Y=692750&X=168780&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2280,SE,1,"1 (1, 1)",3
2010/11,19-Dec-10,UR,Unterschächen,Grundplanggen / Brunni,http://map.geo.admin.ch/?Y=700100&X=187540&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1700,E,1,"1 (1, 1)",3
2009/10,6-Jun-10,BE,Kandersteg,Fründenhütte,http://map.geo.admin.ch/?Y=623340&X=148125&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2520,N,1,"1 (3, 0)",
2009/10,18-Apr-10,VS,Zermatt,Schwärze / Gornergletscher,http://map.geo.admin.ch/?Y=627300&X=89750&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2780,NNE,2,"1 (2, 1)",1
2009/10,7-Apr-10,VS,Anniviers,Col des Arpettes,http://map.geo.admin.ch/?Y=617800&X=111700&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2950,NW,1,"1 (2, 1)",2
2009/10,5-Apr-10,TI,Capriasca,Monte Bar,http://map.geo.admin.ch/?Y=722440&X=107660&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1610,SSE,1,"1 (1, 1)",3
2009/10,3-Apr-10,GR,Bergün Bravuogn,Piz Kesch,http://map.geo.admin.ch/?Y=786460&X=166240&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3350,E,1,"1 (2, 0)",3
2009/10,28-Feb-10,GR,Langwies,Wangegg / Sapün,http://map.geo.admin.ch/?Y=776517&X=186500&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2225,NNE,1,"1 (1, 1)",3
2009/10,27-Feb-10,VS,Bagnes,Forêt du Vernay / Bruson,http://map.geo.admin.ch/?Y=582480&X=100040&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1625,NE,2,"1 (1, 1)",3
2009/10,26-Feb-10,VS,Törbel,Augstbordhorn,http://map.geo.admin.ch/?Y=628130&X=120280&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2810,NNE,1,"1 (1, 1)",3
2009/10,25-Feb-10,GR,Avers,Täli / Pürd,http://map.geo.admin.ch/?Y=760950&X=148860&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2360,NW,1,"1 (1, 1)",3
2009/10,21-Feb-10,GR,Scuol,Cna Lischana CAS,http://map.geo.admin.ch/?Y=821220&X=183750&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2470,WNW,1,"1 (1, 1)",3
2009/10,20-Feb-10,BE,Saxeten,Nideri Sulegg,http://map.geo.admin.ch/?Y=630900&X=162750&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2100,WNW,1,"1 (1, 1)",2
2009/10,20-Feb-10,UR,Realp,Stelliboden - Muttenreuss,http://map.geo.admin.ch/?Y=679350&X=157080&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2170,NW,1,"1 (1, 1)",3
2009/10,20-Feb-10,GR,Safien,Tomülpass,http://map.geo.admin.ch/?Y=738644&X=164009&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2364,ESE,1,"2 (9, 4)",3
2009/10,14-Feb-10,GR,Sils im Engadin Segl,Fuorcla Grevasalvas,http://map.geo.admin.ch/?Y=774520&X=145520&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2640,S,1,"1 (2, 2)",2
2009/10,7-Feb-10,GR,Peist,Mattjisch Horn,http://map.geo.admin.ch/?Y=774100&X=191360&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2390,WSW,1,"1 (2, 1)",3
2009/10,4-Feb-10,BE,Lauterbrunnen,Gälbe Schopf / Lobhornhütte,http://map.geo.admin.ch/?Y=632580&X=162150&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2170,N,1,"1 (1, 1)",3
2009/10,31-Jan-10,SG,Amden,Flügespitz,http://map.geo.admin.ch/?Y=733940&X=224340&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1680,NE,1,"1 (1, 1)",3
2009/10,31-Jan-10,VS,Anniviers,LíAbondance / Roc díOrzival,http://map.geo.admin.ch/?Y=607530&X=115830&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2740,SE,2,"1 (1, 1)",3
2009/10,31-Jan-10,BE,Adelboden,Geils / Skigebiet Adelboden,http://map.geo.admin.ch/?Y=605115&X=144510&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1810,NW,2,"1 (1, 1)",3
2009/10,3-Jan-10,VS,Liddes,Tête de la Payanne,http://map.geo.admin.ch/?Y=581570&X=97700&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,ESE,1,"1 (2, 1)",3
2009/10,3-Jan-10,BE,Diemtigen,Bodezehore,http://map.geo.admin.ch/?Y=607710&X=152840&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2320,NW,1,"7 (12, 12)",2
2009/10,21-Dec-09,VS,Trient,Combe des Jeurs / Tête de Balme,http://map.geo.admin.ch/?Y=563332&X=98213&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2150,N,2,"1 (2, 1)",3
2008/09,13-Jun-09,GR,Poschiavo,Piz Palü,http://map.geo.admin.ch/?Y=794570&X=139460&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3770,SE,1,"3 (3, 0)",
2008/09,25-May-09,VS,Saas Fee,Fallgletscher,http://map.geo.admin.ch/?Y=634750&X=106440&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3270,S,1,"1 (1, 0)",
2008/09,27-Apr-09,VS,Trient,Petite Pointe díOrny / Col des Ecandies,http://map.geo.admin.ch/?Y=568740&X=95000&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3000,NW,1,"1 (7, 3)",2
2008/09,1-Apr-09,GR,Samnaun,Piz Munschuns / Pasterblaunas,http://map.geo.admin.ch/?Y=823950&X=206670&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2440,N,2,"1 (1, 1)",2
2008/09,1-Apr-09,BE,Kandersteg,Inner Ueschine / Uf de Wenge / Balme,http://map.geo.admin.ch/?Y=614400&X=146250&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1900,ESE,1,"1 (2, 1)",2
2008/09,20-Mar-09,VS,Liddes,Petit Combin / Boveire,http://map.geo.admin.ch/?Y=584980&X=92300&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2690,NW,2,"1 (1, 1)",2
2008/09,14-Mar-09,VS,Nax,Mont Noble / Tour de Bonvin,http://map.geo.admin.ch/?Y=604250&X=117800&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2300,NE,1,"1 (1, 1)",3
2008/09,14-Mar-09,SG,Amden,Glattchamm,http://map.geo.admin.ch/?Y=735120&X=224160&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1680,NW,1,"1 (1, 1)",3
2008/09,11-Mar-09,LU,Luthern,Napf,http://map.geo.admin.ch/?Y=638105&X=206090&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1400,N,1,"1 (1, 1)",3
2008/09,7-Mar-09,LU,Hasle,Heiligkreuz / First,http://map.geo.admin.ch/?Y=646800&X=199025&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1455,NW,2,"1 (1, 1)",3
2008/09,28-Feb-09,SG,Altstätten,Rüthi / Plona / Chelen,http://map.geo.admin.ch/?Y=756820&X=239460&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,725,SE,1,"1 (1, 1)",3
2008/09,16-Feb-09,GR,Klosters Serneus,Pischa / Pischaboden,http://map.geo.admin.ch/?Y=788510&X=187940&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,NNE,2,"1 (1, 1)",3
2008/09,15-Feb-09,GR,Saas,Schlappiner Spitz,http://map.geo.admin.ch/?Y=788650&X=199800&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,W,1,"2 (3, 3)",3
2008/09,11-Feb-09,VS,Nendaz,Lac de Cleuson,http://map.geo.admin.ch/?Y=591320&X=106541&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2240,W,1,"3 (4, 4)",3
2008/09,25-Jan-09,VS,Nendaz,Verbier / Mont-Fort / Lac du Grand Désert,http://map.geo.admin.ch/?Y=591640&X=104090&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2780,NE,2,"1 (2, 1)",3
2008/09,25-Jan-09,BE,Hasliberg,Mägisalp / Läuber,http://map.geo.admin.ch/?Y=662980&X=177600&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2200,N,2,"1 (2, 1)",3
2008/09,20-Jan-09,VS,Zermatt,Schwarzsee / Inneri Wälder,http://map.geo.admin.ch/?Y=621720&X=94300&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2250,NE,2,"1 (3, 1)",3
2008/09,23-Dec-08,GR,Lantsch Lenz,Parpaner Rothorn,http://map.geo.admin.ch/?Y=765450&X=179050&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2840,S,2,"1 (1, 1)",3
2008/09,21-Dec-08,VS,Chandolin,Illhorn,http://map.geo.admin.ch/?Y=612982&X=123058&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2447,W,2,"1 (2, 1)",3
2008/09,14-Dec-08,AI,Schwende,Alp Sigel,http://map.geo.admin.ch/?Y=752170&X=238140&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1570,SE,1,"1 (2, 0)",3
2008/09,14-Dec-08,VS,Trient,Les Charcotins / Pointe Ronde/ Secteur des Barres ìLes Charcotinsî,http://map.geo.admin.ch/?Y=567450&X=98575&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2200,SW,1,"1 (3, 1)",3
2008/09,8-Dec-08,VS,Nendaz,Mont Fort / Lac du Grand Désert,http://map.geo.admin.ch/?Y=591787&X=103949&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2743,NE,2,"1 (3, 1)",3
2008/09,26-Nov-08,VD,Ormont Dessous,Les Diablerets,http://map.geo.admin.ch/?Y=583080&X=131400&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2780,WNW,2,"1 (1, 1)",2
2007/08,6-May-08,UR,Unterschächen,Windeggen-Tunnel / Klausenpassstrasse,http://map.geo.admin.ch/?Y=703780&X=192135&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1590,S,3,"1 (2, 0)",1
2007/08,3-May-08,AI,Schwende,Wildkirchli / Alp Obere Bommern,http://map.geo.admin.ch/?Y=749451&X=239216&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1450,E,1,"1 (1, 0)",2
2007/08,19-Apr-08,VS,Val díIlliez,Couloir des Doigts / Dents-du-Midi,http://map.geo.admin.ch/?Y=560220&X=112400&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2950,NW,1,"1 (3, 0)",2
2007/08,16-Apr-08,GR,Poschiavo,Piz Paradisin,http://map.geo.admin.ch/?Y=805530&X=144950&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3060,SW,1,"1 (4, 2)",2
2007/08,18-Mar-08,GR,Bergün,Piz Bleis Marscha,http://map.geo.admin.ch/?Y=774890&X=160150&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3110,ENE,1,"1 (1, 1)",2
2007/08,19-Jan-08,VS,Zermatt,Tufterchumme / Skigebiet ìRothorn paradiseî,http://map.geo.admin.ch/?Y=628010&X=98440&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3100,SW,3,"1 (3, 1)",3
2007/08,15-Jan-08,VS,Zermatt,Mittelritz / Hohtälli / Ritzengrat,http://map.geo.admin.ch/?Y=626600&X=94370&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2520,NE,2,"1 (1, 1)",3
2007/08,13-Jan-08,GR,Pontresina,Diavolezza - Persgletscher,http://map.geo.admin.ch/?Y=794190&X=142870&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2830,SW,1,"1 (1, 1)",4
2007/08,13-Jan-08,GR,Klosters-Serneus,Schwarzhorn / Skigebiet Parsenn,http://map.geo.admin.ch/?Y=780920&X=191190&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2480,WNW,2,"1 (3, 2)",3
2007/08,3-Jan-08,BE,Lenk,Ammertentäli / Ammerten Schafberg,http://map.geo.admin.ch/?Y=606375&X=141060&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2200,NNE,1,"1 (1, 1)",2
2007/08,4-Dec-07,FR,Grandvillard / Bas Intyamon,Tsermon,http://map.geo.admin.ch/?Y=577170&X=154560&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1970,N,1,"1 (1, 1)",3
2006/07,12-Jul-07,BE,Lauterbrunnen,Jungfrau / Rottalsattel,http://map.geo.admin.ch/?Y=640275&X=153890&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,4000,SE,1,"6 (14, 0)",
2006/07,25-Mar-07,OW,Engelberg,Galtiberg / Titlis,http://map.geo.admin.ch/?Y=675645&X=181984&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2500,NW,2,"1 (1, 1)",3
2006/07,25-Mar-07,GR,Susch,Chilbiritzenspitz / Grialetschütte,http://map.geo.admin.ch/?Y=792475&X=176145&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2620,N,1,"1 (1, 1)",2
2006/07,24-Mar-07,VS,Mollens,Mont Bonvin / Plaine Morte / Skigebiet Montana,http://map.geo.admin.ch/?Y=606150&X=135090&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2460,E,2,"1 (4, 1)",3
2006/07,12-Mar-07,VS,Zermatt,Stockhorn / Triftji / verlorenes Tal,http://map.geo.admin.ch/?Y=630120&X=94500&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2740,NW,1,"1 (1, 1)",2
2006/07,10-Mar-07,VS,Savièse,Col du Brochet / Geltenlücke,http://map.geo.admin.ch/?Y=593500&X=132600&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2800,NNW,1,"1 (3, 2)",2
2006/07,4-Mar-07,GR,Klosters Serneus,Gmeinböden / Casanna / Parsenn,http://map.geo.admin.ch/?Y=781250&X=192370&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2440,NE,2,"1 (1, 1)",3
2006/07,4-Mar-07,VS,Zermatt,Hohtälli / Gornergrat,http://map.geo.admin.ch/?Y=628070&X=93100&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3220,W,2,"1 (1, 1)",3
2006/07,4-Mar-07,VD,Chateau díOex,La Pare / La Tournette / La Para,http://map.geo.admin.ch/?Y=578070&X=136850&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2400,NE,1,"1 (2, 1)",3
2006/07,16-Feb-07,VS,Anniviers,Roc díOrzival / Grimentz,http://map.geo.admin.ch/?Y=607830&X=116300&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2660,E,2,"1 (1, 1)",3
